제목,1학년,2학년,3학년,4학년,5학년,6학년,학년기타,영어,수학,과학,사회,음악,미술,체육,실과,국어,도덕,창의체험,통합교과,과목기타,가격,조회수,UserId
<b>1-2학년학습</b>어린이훈민정음3-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8000,0,00100000000000010000
<b>3-4학년그림/동화책</b>불곰에게잡혀간우리아빠,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13000,0,10000000000000000001
<b>3D입체퍼즐/모형</b>[목큐브]변신큐브맨-큐브에서로봇까지!,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,16000,8,11110000110000011101
<b>3D입체퍼즐/모형</b>[정환티앤씨]SLIDA클래식싱글멀티컬러볼(활용설명서제공),1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,16000,8,11111010000000000101
<b>3D입체퍼즐/모형</b>[정환티앤씨]크리스탈퍼즐가필드와오디(2종중택1),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23000,8,01110000000000000101
<b>3D입체퍼즐/모형</b>[정환티앤씨]크리스탈퍼즐건담시리즈(3종중택1),0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,29000,4,01111110100000001101
<b>3월봄새학기</b>[잼잼아트]향기솔솔방향제종이접기(5인),1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4500,3,11100000000010000100
<b>3학년</b>[HS]팅커벨자석그네만들기-1인용,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5000,0,00100000010000000000
<b>3학년</b>[마이사이언스]새집만들기,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3000,0,00100000010000000000
<b>3학년</b>기적의계산법6권초등3학년,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9000,0,00100000100000000000
<b>3학년</b>뿌리깊은초등국어독해력3단계(초등34학년),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9900,0,00100000000000010000
<b>3학년</b>초등국어독해력비타민3단계(완전개정판),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,0,00100000000000010000
<b>3학년</b>하루한장독해초등국어3-2(2023년용),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11000,2,00100000000000010000
<b>4-6세IQ/EQ계발</b>BIG스티커컬러링랜드마크1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7500,0,00100000000000000001
<b>4-6세IQ/EQ계발</b>조이매스쌓기나무수준2세트,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30000,0,01000000100000000000
<b>4-6세우리나라그림책</b>노란우산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,0,10000000000000000001
<b>4-6세우리나라그림책</b>한글만다라3모음학습,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4800,0,10000000000000010000
<b>4학년</b>기적의계산법7권초등4학년,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9000,0,00010000100000000000
<b>4학년</b>기적의계산법8권초등4학년,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9000,0,00010000100000000000
<b>5월어버이날스승의날</b>[민화샵]종이카네이션바구니만들기(4종택1),0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2000,2,00101000000010000100
<b>5월어버이날스승의날</b>[민화샵]펠트카네이션머리띠만들기,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2100,0,00000010000010000000
<b>5월어버이날스승의날</b>[아이스크림]카네이션크리스탈감사패(8각형하트),1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1400,5,10100100000010000001
<b>5월어버이날스승의날</b>[오케이아트]카네이션리스만들기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,0,10000000000000000010
<b>5월어버이날스승의날</b>[피오피스토리]보석십자수카네이션그립톡만들기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2500,0,10000000000000000100
<b>5월어버이날스승의날</b>[황선생]메모꽂이카네이션-(C형)/3인용,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18000,0,00100000000010000000
<b>6월우리나라역사</b>[오케이아트]독도큐빅모자이크만들기,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,01000000000000000100
<b>7월8월여름</b>[오케이아트]여름바다드림캐쳐(4인용),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15000,0,00000100000010000000
<b>DIY환경구성</b>[슈퍼쌤]슈퍼그립홀더(supergripholder메모홀더),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2000,0,00010110000000000101
<b>DIY환경구성</b>[슈퍼쌤]환경미화게시판타이틀,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000,5,00000010000000000001
<b>DIY환경구성</b>[아이스크림]대형이름표집게(압정형/자석형이름표양식다운로드),1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2000,9,11011110000010000111
<b>DIY환경구성</b>[아트사인]메모홀더(3종택1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000,0,00100000000000000001
<b>DIY환경구성</b>[아트사인]부착용메모홀더메모꽂이(옵션선택),0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3000,2,00100010000010000001
<b>DIY환경구성</b>[평화]메모홀더(대),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3000,2,01000010000000000011
<b>DIY환경구성</b>[평화]메모홀더(특대),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4000,3,10100010000000000101
<b>DIY환경구성</b>[피스코리아]메모홀더OrderRack(3종/택1),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3000,0,00010000000010000000
<b>EVA활용만들기</b>[민화샵]크리스마스EVA안경만들기(4종택1),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1900,0,01000000000000000100
<b>LED(점멸)키트</b>[상아사이언스]SA생일별자리LED액자만들기(1인),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6000,0,00010000010000000000
<b>LED만들기</b>[만들기대장]할로윈스텐드만들기,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4200,2,00000010000000000001
<b>LED만들기</b>[아이스크림]DIYLED종이액자만들기(3종택1),0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3000,0,01100000000010000100
<b>LED만들기</b>[오케이아트]미니조명등만들기(18종택1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2500,0,10000000000000000100
<b>LED만들기</b>[올리버출판사]환경오염칼레이도사이클(10인용),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12000,0,00000100100000000000
<b>LED만들기</b>[피오피스토리]크리스마스LED무드등,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5000,0,00010000000000000100
<b>ND자석</b>[마그피아]숫자자석홀더MMN-100(1~100번중선택),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000,0,00100000000000000100
<b>ND자석</b>[마그피아]체스형자석홀더미니소중대(사이즈선택),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,2,00010010000000000001
<b>ND자석</b>[포비월드]네오디움초강력자석(10종택1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9000,0,00100000010000000000
<b>OA용지/복사용지</b>[마그피아]종이자석A45장(W210XL297),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,0,00000010000000000001
<b>OA용지/복사용지</b>[아이스크림]인쇄용종이자석_5매입(개당1400/도안제공),1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,10000,15,11111110000010000011
<b>PP화일</b>[카카오프렌즈]리틀프렌즈스탠다드L홀더파일,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,00000010000000000001
<b>USB메모리/외장하드</b>[모닝글로리]microSD메모리카드MLC(옵션선택),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18000,0,00000010000000000001
<b>USB허브</b>[코시]바하USB4포트허브,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12400,0,00000010000000000001
<b>VR/AR</b>New3D카드보드입체안경만들기(헤어밴드포함),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3500,0,00000100000000000100
<b>가공식품</b>[매일]피크닉200mlx24팩2종(사과청포도),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13300,0,00000100000001000000
<b>가랜드</b>[오케이아트]크리스마스가랜드만들기,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8000,3,00100000000010000001
<b>가면/머리띠</b>★6월26일재입고예정★[아이스크림]썼다지우는역할놀이머리띠(리뉴얼4개1세트),1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,12000,22,11111001011000011111
<b>가방/지갑/양말</b>[쥬크박스]캔버스크로스백(2줄지퍼형),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3500,0,00100000000010000000
<b>가방/지갑/양말</b>[펠트친구]곰금연양말,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1300,0,00010000000000000100
<b>간식</b>[금손이]NEW스위트박스라이트,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4900,0,00010000000000000001
<b>간식</b>[달리토리]페트캔안에네임스티커68개+간식7종구디백,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,4,00101100000000000001
<b>간식</b>[달리토리]한손에가득간식세트(라벨무료/선물포장),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,00010000000000000001
<b>간식</b>[달리토리]헬로간식세트(라벨무료),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,0,00100000000000000001
<b>간식</b>[위클]단체간식선물과자세트구디백,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5000,5,10100100000000000101
<b>간식</b>[파티콘]삼각간식꾸러미(무료선물포장/문구제작),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3000,0,10000000000000000010
<b>간식</b>[파티콘]스마일간식(무료선물포장/문구제작),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1500,2,00000100100000000000
<b>간식</b>[파티콘]양말+간식선물(선물포장/문구제작),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,0,10000000000000000001
<b>감성/감정교구</b>[스트레스컴퍼니]두고봐내마음다짐카드,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000,0,00001000000000001000
<b>감성/감정교구</b>[아이스크림]내맘네맘(공감활동워크북),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2000,4,00110000000000011101
<b>감성/감정교구</b>[피오피스토리]자존감아크릴키링만들기(2종택1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,10000000000000000100
<b>감성/감정교구</b>[학토재]꼬꼬무활동지_얼굴말풍선(얼굴모양종이40매),0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000,0,00100000001000000000
<b>감성/감정교구</b>[학토재]느낌카드(감정카드정서카드),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15000,0,00010000000000000100
<b>감성/감정교구</b>[학토재]덕목칭찬점착메모지(보석모양100장),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6000,0,00000100000000000100
<b>감성/감정교구</b>[학토재]덕분에카드(인성점착메모지100장),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000,0,00000010000000000001
<b>감성/감정교구</b>[학토재]마인드업배너(칭찬공감의언어20장),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000,2,00000010000000000001
<b>감성/감정교구</b>[학토재]마인드업언어포스터비눗방울(고운말현수막),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7000,0,00000010000000000100
<b>감성/감정교구</b>[학토재]마인드업종이스티커-경어체(고운말스티커5매),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,00000010000000000001
<b>감성/감정교구</b>[학토재]마인드업종이스티커-평어체(고운말스티커5매),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,01000000000000000001
<b>감성/감정교구</b>[학토재]마인드업투명스티커_경어체(고운말스티커5매),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,00000010000000000001
<b>감성/감정교구</b>[학토재]마인드업투명스티커-평어체(고운말스티커5매),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,0,00000010000000000100
<b>감성/감정교구</b>[학토재]마인드업패밀리아트꾸러미(5인용인성교육꾸러미),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,0,00000010000000000001
<b>감성/감정교구</b>[학토재]씨앗덕목스티커(가치스티커5장),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4000,0,00000010000000000100
<b>감성/감정교구</b>[학토재]씨앗덕목자석카드(양면가치덕목자석35개),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48000,0,00100000000000001000
<b>감성/감정교구</b>[학토재]애니멀토킹스틱3종세트(회복적생활교육토킹피스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17000,0,00100000000000001000
<b>감성/감정교구</b>[학토재]오!감사카드(인성점착메모지100장),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000,0,00000010000000000001
<b>감성/감정교구</b>[학토재]이미지프리즘씨앗(가치덕목과사진이담긴카드),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20000,0,00000100000000000100
<b>감성/감정교구</b>[학토재]인성을가꾸는고운마음만들기북,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3500,2,00010010000000000101
<b>감성/심리/상담</b>[아이스크림]옥이샘의감정툰컬러링북(감정카드/색칠공부),0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3000,10,00111110000000000111
<b>개념/문제</b>[참고서]기적의수학문장제(56권)+기적의계산법(56권)세트-초등3학년(전4권),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32000,0,00100000100000000000
<b>개별인쇄(낱장인쇄가능)</b>[디자인아지트]티셔츠(주문제작/1장주문가능),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,0,00000100000000000001
<b>건반악기</b>[대진교육]마호가니칼림바17음계,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19000,2,01001000000000000110
<b>건반악기</b>[아이스크림]마호가니17음계칼림바,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,16000,9,01111010000100000111
<b>건반악기</b>[토아]17음카림바(칼림바)WK-17WT(월넛/하드케이스포함/TOAKalimbar),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45000,2,00000100100000000000
<b>건반악기</b>[토아]17음카림바칼림바(마호가니하드케이스포함TOAKalimba컬러2종택1),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50000,0,00000100000100000000
<b>건축물·역사</b>[뜯어만드는세상]세계미니건축물1(미주/유럽),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000,0,01000000000000000001
<b>건축물·역사</b>[오케이아트]세계여러나라큐빅모자이크,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,2,01000000000000000010
<b>건축물·역사</b>[오케이아트]스텐실본(세계여러나라7종1택),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,00100000000010000000
<b>걸레/행주</b>[한일물산]유리닦이2종(사양선택),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4500,0,00000010000000000001
<b>결재용도장</b>[Trodat]학부모확인결재도장4929(4.8x2.6cm자동스탬프),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21000,3,10011000000000010001
<b>경제/경영/부루마블</b>[보약게임]투자왕포세일(사회경제보드게임),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27500,0,00000100001000000000
<b>경제/경영/부루마블</b>[생각투자]캔디랩(2인~4인용색깔조합맞추기게임),0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29000,2,00001100000000100100
<b>경제/경영/부루마블</b>[씨앗사]부루마불세계여행클래식(2인~4인용땅따먹기게임),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,66000,0,00000010000000000100
<b>경제/경영/부루마블</b>[코리아보드게임즈]보난자(2인~7인용거래게임),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,00001000000000000100
<b>경제/경영/부루마블</b>[행복한바오밥]미니빌(주사위로만드는마을),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30000,0,00100000000000000100
<b>계절용품</b>@품절-일괄미노출(21.07.23)/[쥬크박스]이지툭툭블럭손선풍기(4개세트),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28000,0,01000000000000000010
<b>고급연필</b>[문화연필]더존키즈삼각연필5개입(HB/B/2B옵션선택),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1500,0,01000000000000000001
<b>고급연필</b>[베어나인]교정연필(옵션선택),1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,500,11,11110100000000010001
<b>고급연필</b>[아이비스]스케치샤프2B(3종택1),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,2,00000100000010000000
<b>고무/금속/도자</b>막대자석(소/중/대),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,500,0,00100000010000000000
<b>고무자석/테이프</b>[마그피아]스티커고무자석50조각,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2200,2,01010000000010010000
<b>고무자석/테이프</b>[아트사인]조각고무자석(8종택1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1800,0,00100000000000000001
<b>고피쉬시리즈</b>[행복한바오밥]고피쉬영어-ABC,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,00100001000000000000
<b>고피쉬시리즈</b>[행복한바오밥]고피쉬영어동사(영어단어),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,00001001000000000000
<b>골격/백골</b>[한우리]한지유아필통골격N705,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2080,0,00000100000010000000
<b>골판지/주름지/구김지</b>[두성]골판지4절/10매입(색상선택),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10000,0,01000000000010000000
<b>골판지/주름지/구김지</b>[두성]구김지2절(색상선택),0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1200,0,00000010000010000000
<b>골판지/주름지/구김지</b>[영진]12색금은지롱골지감기,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,0,00100000000000000010
<b>골판지/주름지/구김지</b>[영진]14색금은지롱골지감기,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000,0,00100000000000000001
<b>골판지/주름지/구김지</b>[영진]골판지4절(색상선택),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,800,0,01000000000010000000
<b>골판지/주름지/구김지</b>[종이나라]골판지색종이12색,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000,0,00100000000010000000
<b>골판지공예</b>[대P&amp;P]14색띠골판지(1×50cm44매),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3000,0,01000000000000000010
<b>골판지공예</b>[아트랄라]사파리버스만들기(1인용),1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1900,3,10100000000010010100
<b>골판지공예</b>[아트랄라]신나는붕어빵만들기,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3000,7,11110000000010010110
<b>곱셈/나눗셈</b>[아이스크림]구구단주사위(곱셈구구5인세트),0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14000,4,01101000100000000000
<b>곱셈/나눗셈</b>[아이스크림]세로셈점착메모지(자릿값계산특화교구2종택1),0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,2,00100010100000000000
<b>공업용컷터(대형)</b>[도루코]L601커터칼(대형),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4500,0,00100000000000000001
<b>공통</b>[꿀잼교육연구소]허쌤의두줄공책(아침자습/쉬는시간),0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2000,7,01111010000000010001
<b>공통</b>[꿀잼교육연구소]허쌤의짬짬이퀴즈노트,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,2,00010010000000000001
<b>공통</b>[노트]하루한장생태·환경지킴책,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2200,2,00010010000000000001
<b>공통</b>[아이스크림]NEW!하루쓰기,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1800,51,01111110001000010011
<b>공통</b>[아이스크림]NEW한꺼풀(학년선택),1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2000,17,11111110100000000111
<b>공통</b>[아이스크림]또박또박알림장(저학년전용알림장),1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1500,16,11101110000000010101
<b>공통</b>[아이스크림]아침밥(전학년아침활동교재),1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,2000,41,11111110000010010101
<b>공통</b>[아이스크림]안녕!지구(생태환경교육실천북),0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3000,7,00111100000000101100
<b>공통</b>[아이스크림]옥이샘의창체툰노트(창체수업노트),0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,11,01110010000000000100
<b>공통</b>[아이스크림]윤히쌤의또래힐링북,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3000,4,00110010000000000100
<b>공통</b>[아이스크림]하니쌤의그림일기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,2,10000000000000010000
<b>과자/간식</b>[롯데]롯데샌드모음,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1700,0,00100000000010000000
<b>과자</b>[서울식품]뻥이요(35g/140g/240g/270g),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600,0,10000000000000000001
<b>과자</b>[크라운]쿠크다스6종,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1500,0,00100000000010000000
<b>과학탐구</b>[코리아보드게임즈]그래비트랙스코어스타터(1명이상DIY/트랙)-기둥타일증정,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109000,3,10100100000000000100
<b>과학탐구</b>[코리아보드게임즈]그래비트랙스코어스타터(1인용DIY/트랙)-라이트(기둥타일증정),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,77000,7,00011100000000000101
<b>관찰교구</b>[HS]교과서에나오는접이식확대경(30배)/루페,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,2,00000010000000000001
<b>관찰교구</b>[HS]코끼리나팔(10개입),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,0,01000000000000010000
